"","title","link","address","lat","long","date_opened","date_closed","descr","closed_status"
"149","Illegal Parking at Intersection Of Kenmore St & Commonwealth Ave","https://311.boston.gov/reports/101002240740","Intersection Of Kenmore St & Commonwealth Ave, Boston",42.348762890167,-71.0949793577515,2017-10-13 16:51:00,2017-10-13 16:58:00,"Multiple vehicles double parked 

Parked in bike lane

Parked in front of fire hydrant 

Parked on handicap ramp

Parked on crosswalk 

Parked too close to corner

Serious safety issue

The valet parkers continue to park cars here illegally and put profit before public safety here and it seems that the meter maids turn a blind eye to this.

If I parked here or you parked here you would get ticketed and towed, yet the BTD allows the valet parkers to park cars here?

Please enforce the parking rules here

It's a very high traffic area with lots of pedestrians and cyclists and other commuters yet this spot continues to create a hazard to public safety 

Please enforce the traffic laws here

They should apply the same to all citizens of this great city","Case Resolved. all clear."
"150","Illegal Parking at Intersection Of Morton St & O'leary Way, Jamaica Plain","https://311.boston.gov/reports/101002238801","Intersection Of Morton St & O'leary Way, Jamaica Plain",42.3001610506812,-71.1089804361829,2017-10-11 14:02:00,2017-10-12 09:40:00,"How is the car parked illegally? Other | Details: Constituent emailing in: ""I am concerned and confused why city officials and police officers allow so much illegal parking around the courthouse everyday. Court house employees, police officers, and regular citizens with courthouse business have continued to park illegally along the left hand side of the frontage road. There have been signs posted there for months that say NO PARKING. Cars are parking for 8+ hours IN A BIKE LANE, with NO PARKING signs everywhere. All this while a temporary parking lot for courthouse business goes empty everyday. There has been a temporary lot across the street on the corner of Washington and the Arborway setup since the beginning of all this construction. Yet it goes unused, except for maybe a half dozen cars.""","Case Noted"
"151","Illegal Parking at Intersection Of Perry St & Washington St, Roxbury","https://311.boston.gov/reports/101002227064","Intersection Of Perry St & Washington St, Roxbury",42.3428753391303,-71.0671132710493,2017-09-26 16:40:00,2017-09-26 17:08:00,"No RPP along peters park","Case Resolved. 1 vehicle tagged for non resident  1 tagged for bike lane."
"152","Illegal Parking at 969 Commonwealth Ave","https://311.boston.gov/reports/101002229168","969 Commonwealth Ave, Boston",42.351921,-71.119492,2017-09-28 19:24:00,2017-09-28 19:35:00,"The cones literally say ""Paradise"". These are not for construction, they are used to blocking the bike lane for tour vans too big to park legally. Please stop this garbage. This is MassDot or Bos Public Works.","Case Noted. area has permits."
"153","Other at Intersection Of North St & Powers Ct","https://311.boston.gov/reports/101002077552","Intersection Of North St & Powers Ct, Boston",42.3660083333333,-71.0512861666667,2017-05-01 17:52:00,2017-09-21 08:02:00,"The city has been doing construction on the sidewalk outside of commercial street and north street. There are signs about No Parking everywhere however in the past 5 days there has been no construction however, the signs remain. Parking has been impossible since they put in the bike lane and the city needs to be conscious of when they put up no parking signs and for the length of time.  In addition, the first street parking space on the corner of north and commercial street is now too small for a car to park. The sidewalk they installed is wider than the old one and the crosswalk is also wide. Can the crosswalk be painted smaller so that space can remain a legal parking space?  Thank you!","Case Noted. The crosswalks will be reinstalled according to BTD Engineering drawings, thank you."
"154","Illegal Parking at Intersection Of Harry Agganis Way & Commonwealth Ave","https://311.boston.gov/reports/101002214399","Intersection Of Harry Agganis Way & Commonwealth Ave, Boston",42.351609,-71.118833,2017-09-12 20:22:00,2017-09-12 21:21:00,"Barrels blocking bike lane while cars are still able to park. Why is this blocked?","Case Noted"
"155","Illegal Parking at Intersection Of Massachusetts Ave & Columbus Ave, Roxbury","https://311.boston.gov/reports/101002208091","Intersection Of Massachusetts Ave & Columbus Ave, Roxbury",42.3406422324873,-71.0817461461491,2017-09-05 18:17:00,2017-09-06 04:03:00,"Mail truck parked in bike lane. State law allows you to issue a ticket based on a photo. Please do so. 

Also, there are another 14 cars parked in the bike lane along Columbus between Ruggles and Dartmouth. Please patrol this area on a regular basis. Because as it is, people think it's fine to park here, since there isn't enforcement. I ride here with my children, and I will be filing a claim with the city every time they are late for an appointment or are injured swerving around cars. Either enforce the law or take out the bike lanes, since right now they're useless.","Case Resolved. clear."
"156","Illegal Parking at 362 366 Commonwealth Ave","https://311.boston.gov/reports/101002197932","362 366 Commonwealth Ave, Boston",42.348733,-71.088044,2017-08-25 14:01:00,2017-08-25 14:31:00,"Uber and Lyft drivers constantly park here. Area is neither clear at this time or being monitored.  Please fix infrastructure to compensate for BTD not enforcing bike lanes and save lives, not parking","Case Resolved. No vehicles are currently in the bike lane."
"157","Illegal Parking at 1 Science Park","https://311.boston.gov/reports/101002194862","1 Science Park, Boston",42.369937,-71.071232,2017-08-22 13:27:00,2017-08-22 13:31:00,"Illegally parked in the bike lane","Case Noted. better location needed please."
"158","Illegal Parking at 921 923 Adams St, Dorchester","https://311.boston.gov/reports/101002187410","921 923 Adams St, Dorchester",42.27993,-71.059099,2017-08-14 12:34:00,2017-08-22 12:49:00,"Cars parked in bike lane. Usually a few cars doing this daily spread out along the whole stretch of Adams. These are newly added bike lanes and should be enforced so people don't get into the habit of thinking it's ok to park in them. The BPD officer on traffic duty I spoke with said to contact 311 or the Mayor's office and see if signage could be added along the road because he said drivers aren't looking at the lines on the ground, just for any signs posted. Thank you.","Case Noted. Bike lanes are marked and properly signed."
